Month,Year,Volume
Jan,2015,6.72920119
Jan,2016,10.05331758
Jan,2017,12.63926664
Jan,2018,14.912746
Jan,2019,17.8705293
Feb,2015,7.25470531
Feb,2016,8.55748051
Feb,2017,13.93064842
Feb,2018,16.12787109
Feb,2019,16.88068395
Mar,2015,9.46221031
Mar,2016,10.67864154
Mar,2017,15.66911729
Mar,2018,17.49165404
Mar,2019,22.27244521
Apr,2015,8.03149076
Apr,2016,12.3655543
Apr,2017,18.24663861
Apr,2019,16.48112811
May,2015,10.52719121
May,2016,15.40524914
May,2017,14.10799468
May,2019,10.520802
Jun,2015,6.85942369
Jun,2016,10.87750551
Jun,2017,13.77416516
Jul,2015,6.62085823
Jul,2016,13.39371893
Jul,2017,15.31610332
Aug,2015,8.42183191
Aug,2016,10.82991464
Aug,2017,11.10865512
Sep,2015,5.72687905
Sep,2016,10.25288393
Sep,2017,11.6569973
Oct,2015,5.70445045
Oct,2016,10.14560002
Oct,2017,15.15409733
Nov,2015,7.60040698
Nov,2016,8.97353921
Nov,2017,10.73485265
Dec,2015,5.93077726
Dec,2016,9.10667347
Dec,2017,15.80136931